gridid,join_count_d,join_count_o,time_sum,lat,lng
220,1,8,29.86666667,30.6762257,104.2256317
221,1,5,37.55,30.6902351,103.9027863
222,13,16,746.6333333,30.6902351,103.9197769
223,28,35,1188.133333,30.6902351,103.9367676
224,117,105,3928.6,30.6902351,103.9537582
225,104,134,3399.983333,30.6902351,103.9707489
226,153,220,3861.55,30.6902351,103.9877472
227,503,476,11567.2,30.6902351,104.0047379
228,1888,1749,37742.11667,30.6902351,104.0217285
229,4086,3857,75878.71667,30.6902351,104.0387192
230,4624,4553,85714.65,30.6902351,104.0557098
231,7114,7684,161483.45,30.6902351,104.0727081
232,3791,3582,69031.75,30.6902351,104.0896988
233,2725,2585,46023.4,30.6902351,104.1066895
234,356,395,6859.15,30.6902351,104.1236801
235,268,252,5819.333333,30.6902351,104.1406708
236,280,331,7102.95,30.6902351,104.1576691
237,577,469,15142.41667,30.6902351,104.1746597
238,48,25,1368.5,30.6902351,104.1916504
239,2,0,79.83333333,30.6902351,104.2086411
240,0,2,0,30.6902351,104.2256317
241,2,0,71.03333333,30.7042465,103.9027863
242,7,12,337.2666667,30.7042465,103.9197769
243,34,12,1355.916667,30.7042465,103.9367676
244,8,14,286.95,30.7042465,103.9537582
245,46,41,1539.216667,30.7042465,103.9707489
246,316,315,8711.85,30.7042465,103.9877472
247,1026,831,23814.01667,30.7042465,104.0047379
248,1112,1382,23242.43333,30.7042465,104.0217285
249,3373,3092,66255.46667,30.7042465,104.0387192
250,2097,1978,42635.15,30.7042465,104.0557098
251,2905,3852,71172.61667,30.7042465,104.0727081
252,3423,3161,60956.61667,30.7042465,104.0896988
253,2974,3085,55934.95,30.7042465,104.1066895
254,496,455,9339.966667,30.7042465,104.1236801
255,16,11,262.6833333,30.7042465,104.1406708
256,372,322,8586.933333,30.7042465,104.1576691
257,420,449,10704.2,30.7042465,104.1746597
258,76,95,2155.883333,30.7042465,104.1916504
259,1,2,32.13333333,30.7042465,104.2086411
260,3,4,124.3833333,30.7042465,104.2256317
261,12,15,615.55,30.7182579,103.9027863
262,7,10,301.3833333,30.7182579,103.9197769
263,1,7,24.38333333,30.7182579,103.9367676
264,14,9,604.4333333,30.7182579,103.9537582
265,123,130,4134.633333,30.7182579,103.9707489
266,314,295,9376.283333,30.7182579,103.9877472
267,413,315,10642.63333,30.7182579,104.0047379
268,512,498,10392.48333,30.7182579,104.0217285
269,2418,2351,51879.38333,30.7182579,104.0387192
270,2413,2479,45279.65,30.7182579,104.0557098
271,2217,1724,42334.48333,30.7182579,104.0727081
272,539,509,9911.233333,30.7182579,104.0896988
273,2887,2432,53107.35,30.7182579,104.1066895
274,409,426,7692.483333,30.7182579,104.1236801
275,100,120,1663.6,30.7182579,104.1406708
276,7,12,156.0666667,30.7182579,104.1576691
277,218,198,5862.55,30.7182579,104.1746597
278,24,33,1035.75,30.7182579,104.1916504
279,0,0,0,30.7182579,104.2086411
280,0,0,0,30.7182579,104.2256317
281,2,6,86.9,30.7322674,103.9027863
282,5,5,251.2333333,30.7322674,103.9197769
283,2,3,74.41666667,30.7322674,103.9367676
284,29,50,1231.7,30.7322674,103.9537582
285,145,162,5148.8,30.7322674,103.9707489
286,155,194,4877.433333,30.7322674,103.9877472
287,82,77,2184.133333,30.7322674,104.0047379
288,424,471,10262.15,30.7322674,104.0217285
289,178,141,3548.35,30.7322674,104.0387192
290,1066,1213,20353.2,30.7322674,104.0557098
291,85,74,1637.216667,30.7322674,104.0727081
292,23,35,549.0666667,30.7322674,104.0896988
293,214,224,4285.033333,30.7322674,104.1066895
294,61,85,1167.833333,30.7322674,104.1236801
295,332,351,9655.783333,30.7322674,104.1406708
296,20,5,318.05,30.7322674,104.1576691
297,1,0,19.83333333,30.7322674,104.1746597
298,14,11,412.7833333,30.7322674,104.1916504
299,26,25,882.4333333,30.7322674,104.2086411
300,0,1,0,30.7322674,104.2256317
301,0,0,0,30.7462788,103.9027863
302,53,66,2711.05,30.7462788,103.9197769
303,5,10,201.45,30.7462788,103.9367676
304,29,31,1123.033333,30.7462788,103.9537582
305,95,124,3673.533333,30.7462788,103.9707489
306,175,202,6303.216667,30.7462788,103.9877472
307,69,62,1937.483333,30.7462788,104.0047379
308,277,292,8367.35,30.7462788,104.0217285
309,601,562,15209.26667,30.7462788,104.0387192
310,295,223,7885.866667,30.7462788,104.0557098
311,214,196,5212.95,30.7462788,104.0727081
312,22,39,620.5333333,30.7462788,104.0896988
313,339,218,7695.55,30.7462788,104.1066895
314,98,301,2224.1,30.7462788,104.1236801
315,95,65,2458.833333,30.7462788,104.1406708
316,117,202,2453.683333,30.7462788,104.1576691
317,4,16,88.86666667,30.7462788,104.1746597
318,3,2,116,30.7462788,104.1916504
319,7,3,231.0333333,30.7462788,104.2086411
320,1,1,33.53333333,30.7462788,104.2256317
321,10,6,508.6166667,30.7602882,103.9027863
322,30,14,1387.533333,30.7602882,103.9197769
323,16,30,728,30.7602882,103.9367676
324,35,36,1415.75,30.7602882,103.9537582
325,144,165,5794.1,30.7602882,103.9707489
326,180,204,6564.783333,30.7602882,103.9877472
327,39,31,1115.516667,30.7602882,104.0047379
328,174,224,5278.9,30.7602882,104.0217285
