OID_,lat,lng
333,30.7602882,104.1066895
334,30.7602882,104.1236801
335,30.7602882,104.1406708
336,30.7602882,104.1576691
337,30.7602882,104.1746597
338,30.7602882,104.1916504
339,30.7602882,104.2086411
340,30.7602882,104.2256317
341,30.7742996,103.9027863
342,30.7742996,103.9197769
343,30.7742996,103.9367676
344,30.7742996,103.9537582
345,30.7742996,103.9707489
346,30.7742996,103.9877472
347,30.7742996,104.0047379
348,30.7742996,104.0217285
349,30.7742996,104.0387192
350,30.7742996,104.0557098
351,30.7742996,104.0727081
352,30.7742996,104.0896988
353,30.7742996,104.1066895
354,30.7742996,104.1236801
355,30.7742996,104.1406708
356,30.7742996,104.1576691
357,30.7742996,104.1746597
358,30.7742996,104.1916504
359,30.7742996,104.2086411
360,30.7742996,104.2256317
361,30.788311,103.9027863
362,30.788311,103.9197769
363,30.788311,103.9367676
364,30.788311,103.9537582
365,30.788311,103.9707489
366,30.788311,103.9877472
367,30.788311,104.0047379
368,30.788311,104.0217285
369,30.788311,104.0387192
370,30.788311,104.0557098
371,30.788311,104.0727081
372,30.788311,104.0896988
373,30.788311,104.1066895
374,30.788311,104.1236801
375,30.788311,104.1406708
376,30.788311,104.1576691
377,30.788311,104.1746597
378,30.788311,104.1916504
379,30.788311,104.2086411
380,30.788311,104.2256317
381,30.8023205,103.9027863
382,30.8023205,103.9197769
383,30.8023205,103.9367676
384,30.8023205,103.9537582
385,30.8023205,103.9707489
386,30.8023205,103.9877472
387,30.8023205,104.0047379
388,30.8023205,104.0217285
389,30.8023205,104.0387192
390,30.8023205,104.0557098
391,30.8023205,104.0727081
392,30.8023205,104.0896988
393,30.8023205,104.1066895
394,30.8023205,104.1236801
395,30.8023205,104.1406708
396,30.8023205,104.1576691
397,30.8023205,104.1746597
398,30.8023205,104.1916504
399,30.8023205,104.2086411
400,30.8023205,104.2256317
