LGTD,LTTD,VENDER,CREATETIME,STLC,Z,text
119.350770763,26.0740412233,三鑫隆,2019-03-10 11:48:31,晋安区福马路YS3443440031,0.0,福马路YS3443440031
119.287625734,26.0706401468,三鑫隆,2019-03-10 11:48:31,台江区白马支路YS3193460076,0.0,白马支路YS3193460076
119.313990152,26.0564062271,三鑫隆,2019-03-10 11:48:31,台江区台江路YS3303540088,0.0,台江路YS3303540088
119.299099273,26.0647864566,三鑫隆,2019-03-10 11:48:31,台江区洋中路YS3243490103,0.0,洋中路YS3243490103
119.310912233,26.0906970473,三鑫隆,2019-03-10 11:48:31,鼓楼区东大路YS3283350026,0.0,东大路YS3283350026
119.292289623,26.126529347,三鑫隆,2019-03-10 11:48:31,晋安区北三环路YS3213150034,0.0,北三环路YS3213150034
119.299507603,26.1339992518,三鑫隆,2019-03-10 11:48:31,晋安区福飞路YS3243110051,0.0,福飞路YS3243110051
119.318822428,26.072956167,三鑫隆,2019-03-10 11:48:31,晋安区晋连路YS3323450008,0.0,晋连路YS3323450008
119.35844301,26.0819895552,三鑫隆,2019-03-10 11:48:31,晋安区福兴大道YS3473400019,0.0,福兴大道YS3473400019
119.309245222,26.0842985123,三鑫隆,2019-03-10 11:48:31,鼓楼区东水路YS3283380011,0.0,东水路YS3283380011
119.306666982,26.1147020801,三鑫隆,2019-03-10 11:48:31,晋安区茶园路YS3273220021,0.0,茶园路YS3273220021
119.305997162,26.1357905142,三鑫隆,2019-03-10 11:48:31,晋安区秀山路CS3273100212,0.0,秀山路CS3273100212
119.321382998,26.0750920447,三鑫隆,2019-03-10 11:48:31,晋安区王庄街YS3333440013,0.0,王庄街YS3333440013
119.305072346,26.0836052418,三鑫隆,2019-03-10 11:48:31,鼓楼区五一北路ABYS3263394740,0.0,五一北路ABYS3263394740
119.277441409,26.0858262364,三鑫隆,2019-03-10 11:48:31,鼓楼区杨桥中路YS3153370002,0.0,杨桥中路YS3153370002
119.276651726,26.0734291741,三鑫隆,2019-03-10 11:48:31,鼓楼区乌山西路YS3153440051,0.0,乌山西路YS3153440051
119.335777704,26.0796834723,三鑫隆,2019-03-10 11:48:31,晋安区后浦路YS3383410029,0.0,后浦路YS3383410029
119.3305039,26.0335925128,三鑫隆,2019-03-10 11:48:31,仓山区连江南路与龙院路交叉口,0.0,连江南路与龙院路交叉口
119.30148519,26.1257930874,三鑫隆,2019-03-10 11:48:31,晋安区琴亭湖高架桥1 Y4002100016,0.0,琴亭湖高架桥1 Y4002100016
119.288092326,26.0657104514,三鑫隆,2019-03-10 11:48:31,台江区工业路YS3193490088,0.0,工业路YS3193490088
119.275959945,26.0676515846,三鑫隆,2019-03-10 11:48:31,台江区上浦路YS3143480040,0.0,上浦路YS3143480040
119.314411682,26.0823029088,三鑫隆,2019-03-10 11:48:31,晋安区六一北路YS3303400053,0.0,六一北路YS3303400053
119.312357197,26.0712224313,三鑫隆,2019-03-10 11:48:31,台江区后巷YS3293460027,0.0,后巷YS3293460027
119.301990768,26.0940790165,三鑫隆,2019-03-10 11:48:31,鼓楼区五四路ABYS3253332825,0.0,五四路ABYS3253332825
119.299068265,26.0498296697,三鑫隆,2019-03-10 11:48:31,台江区江滨西大道BS3243575965,0.0,江滨西大道BS3243575965
119.301132503,26.1108754997,三鑫隆,2019-03-10 11:48:31,鼓楼区五四路一带（烟草大厦门口）（福建海晟连锁）,0.0,五四路一带（烟草大厦门口）（福建海晟连锁）
119.317979855,26.1452038396,三鑫隆,2019-03-10 11:48:31,晋安区满洋路3 Y4000610091,0.0,满洋路3 Y4000610091
119.303157423,26.067924585,三鑫隆,2019-03-10 11:48:31,台江区广达路YS3253470029,0.0,广达路YS3253470029
119.30224043,26.073697024,三鑫隆,2019-03-10 11:48:31,台江区广达路YS3253440010,0.0,广达路YS3253440010
119.303228806,26.0586621117,三鑫隆,2019-03-10 11:48:31,台江区学军路YS3253530054,0.0,学军路YS3253530054
119.314332503,26.0785764782,三鑫隆,2019-03-10 11:48:31,鼓楼区六一中路YS3303420037,0.0,六一中路YS3303420037
119.305954212,26.0867325582,三鑫隆,2019-03-10 11:48:31,鼓楼区得贵巷YS3263370039,0.0,得贵巷YS3263370039
119.297389351,26.1044352474,三鑫隆,2019-03-10 11:48:31,鼓楼区华林路YS3233270040,0.0,华林路YS3233270040
119.310491644,26.0956504822,三鑫隆,2019-03-10 11:48:31,鼓楼区六一北路BS3283320471,0.0,六一北路BS3283320471
119.292762755,26.0697202061,三鑫隆,2019-03-10 11:48:31,台江区交通路YS3213460012,0.0,交通路YS3213460012
119.352975214,26.0852373344,三鑫隆,2019-03-10 11:48:31,晋安区福新东路YS3453380015,0.0,福新东路YS3453380015
119.30203971,26.0770764129,三鑫隆,2019-03-10 11:48:31,鼓楼区广达路ABYS3253423028,0.0,广达路ABYS3253423028
119.299427256,26.1341595314,三鑫隆,2019-03-10 11:48:31,晋安区福飞路YS3243110017,0.0,福飞路YS3243110017
119.340727085,26.076489952,三鑫隆,2019-03-10 11:48:31,晋安区福马路YS3403430037,0.0,福马路YS3403430037
119.338099098,26.0836511943,三鑫隆,2019-03-10 11:48:31,晋安区官前路YS3393390051,0.0,官前路YS3393390051
119.289677553,26.0884735529,三鑫隆,2019-03-10 11:48:31,鼓楼区杨桥东路ABYS3203360532,0.0,杨桥东路ABYS3203360532
119.296906548,26.0699145402,三鑫隆,2019-03-10 11:48:31,台江区交通路YS3233460036,0.0,交通路YS3233460036
119.308498556,26.0975816572,三鑫隆,2019-03-10 11:48:31,鼓楼区湖东路YS3273310011,0.0,湖东路YS3273310011
119.342154423,26.0710057264,三鑫隆,2019-03-10 11:48:31,晋安区长春路YS3413460060,0.0,长春路YS3413460060
119.308395314,26.0809926467,三鑫隆,2019-03-10 11:48:31,鼓楼区建华支巷YS3273400010,0.0,建华支巷YS3273400010
119.289210991,26.0672359663,三鑫隆,2019-03-10 11:48:31,台江区白马支路YS3203480046,0.0,白马支路YS3203480046
119.336449961,26.0660541222,三鑫隆,2019-03-10 11:48:31,晋安区远洋路YS3393490040,0.0,远洋路YS3393490040
119.4543052447,26.0027250077,三鑫隆,2019-03-10 11:48:31,马尾区登龙路福州经济技术开发区幼儿园西北89米,0.0,3016文体南路
119.313632395,26.1142522537,三鑫隆,2019-03-10 11:48:31,晋安区福州火车站2 Y4200660090,0.0,福州火车站2 Y4200660090
119.308236921,26.0700700584,三鑫隆,2019-03-10 11:48:31,台江区状元街YS3273460065,0.0,状元街YS3273460065
119.292262126,26.0517282845,三鑫隆,2019-03-10 11:48:31,台江区同德路YS3213560054,0.0,同德路YS3213560054
119.4005097384,26.0254661556,三鑫隆,2019-07-01 11:48:31,晋安区葆桢路福建省产品质量检验研究院马尾基地-西门附近47米,0.0,1009魁岐路与葆桢路
119.3837013456,26.0279130677,三鑫隆,2019-07-01 11:48:31,晋安区船政路魁岐佳园-西门西93米,0.0,1006魁岐路与铁南路
119.4002400623,26.022081486,三鑫隆,2019-07-01 11:48:31,晋安区葆桢路新大陆壹号内,0.0,1004儒江西路与葆桢路
119.3925936492,26.0275111927,三鑫隆,2019-07-01 11:48:31,晋安区协洲路福州市马尾第二实验幼儿园-东门东52米,0.0,1012玉藻路与协洲路（马尾第二实验幼儿路口）
119.3954749488,26.0274324653,三鑫隆,2019-07-01 11:48:31,晋安区宗棠路连江海鲜锅边附近49米,0.0,1013玉藻路与宗棠路
119.3948472728,26.0220750643,三鑫隆,2019-07-01 11:48:31,晋安区宗棠路名城中心-1号门附近33米,0.0,1003儒江西路与宗棠路
119.3954068034,26.0253183177,三鑫隆,2019-07-01 11:48:31,晋安区宗棠路名城综合门诊部东北57米,0.0,1008魁岐路与宗棠路
119.4064383959,26.021652714,三鑫隆,2019-07-01 11:48:31,晋安区儒江西路福建新大陆自动识别技术有限公司附近35米,0.0,1005儒江西路与磨溪交点
119.4108817123,26.0205941377,三鑫隆,2019-07-01 11:48:31,晋安区儒江东路名城国际1号楼附近23米,0.0,2001魏瀚路与儒江西路
119.3930653596,26.0222076411,三鑫隆,2019-07-01 11:48:31,晋安区儒江西路日春茶业附近12米,0.0,1002儒江西路与凯隆巷
119.3894069551,26.0258585365,三鑫隆,2019-07-01 11:48:31,"晋安区凯隆巷东方名城内,华郡24幢北78米",0.0,1007魁岐路与日昌路
119.4428094705,25.993633252,三鑫隆,2019-07-01 11:48:31,马尾区江滨东大道273二手车交易网(马尾店)附近5米,0.0,3002港口路联安路路口
119.4407663776,25.9945346631,三鑫隆,2019-07-01 11:48:31,马尾区前街福州基督教会附近7米,0.0,3001江滨东路基督教堂旁
119.4673125741,25.9991144501,三鑫隆,2019-07-01 11:48:31,马尾区建设路福建长隆纺织有限公司内,0.0,3014 建设路福建省船舶工程技术学院
119.4627176377,26.0026124046,三鑫隆,2019-07-01 11:48:31,马尾区经一路昇兴股份-西南门西北82米,0.0,4018 经一路 支线
119.4652742575,26.0003797435,三鑫隆,2019-07-01 11:48:31,马尾区罗星中路福建杨振华851生物科技股份有限公司-东南门西南64米,0.0,4014 罗星西路与经一路
119.4552237604,26.0003938487,三鑫隆,2019-07-01 11:48:31,马尾区君竹路云海家居生活体验馆附近9米,0.0,3009君竹路与登龙路
119.4682372594,25.9927870831,三鑫隆,2019-07-01 11:48:31,马尾区青洲路海洋中心附近40米,0.0,4008 青洲路水产大厦
119.4617855996,25.9970264064,三鑫隆,2019-07-01 11:48:31,马尾区青洲路屈臣氏(马尾中环广场店)东69米,0.0,4012 罗星中路与青洲路
119.4568934557,25.9910329866,三鑫隆,2019-07-01 11:48:31,马尾区罗星西路君悦海鲜楼附近12米,0.0,4005 罗星西路与居安路
119.4555377067,25.9893932784,三鑫隆,2019-07-01 11:48:31,马尾区罗星西路中国银行(马江支行)附近29米,0.0,4004 罗星西路济安支路
119.4567467065,25.9886142606,三鑫隆,2019-07-01 11:48:31,马尾区罗星西路福州边检济安公寓附近7米,0.0,4007 济安路与济安支路
119.4521640214,25.9857059131,三鑫隆,2019-07-01 11:48:31,马尾区港口路晶晶便民超市附近10米,0.0,4003港口路与罗星西路
119.450074623,25.9869775666,三鑫隆,2019-07-01 11:48:31,马尾区港口路水运质监站东北61米,0.0,4002 港口路与马尾港路口
119.4578789366,25.9965899084,三鑫隆,2019-07-01 11:48:31,马尾区星达路7天连锁酒店(福州马尾店)附近8米,0.0,3013 建星路与星达路
119.301098906,26.106032744,三鑫隆,2019-03-10 11:48:31,鼓楼区五四路电力大厦、经贸会展中心,0.0,五四路电力大厦、经贸会展中心
119.322324546,26.1438810639,三鑫隆,2019-03-10 11:48:31,晋安区满洋路往汤斜溪路段Y4000320002,0.0,满洋路往汤斜溪路段Y4000320002
119.308645247,26.1121453429,三鑫隆,2019-03-10 11:48:31,晋安区北环中路YS3283230005,0.0,北环中路YS3283230005
119.28338136,26.0792357815,三鑫隆,2019-03-10 11:48:31,鼓楼区道山西路YS3173410034,0.0,道山西路YS3173410034
119.4555585028,25.9950953921,三鑫隆,2019-07-01 11:48:31,马尾区上岐路正荣财富中心(马尾)附近19米,0.0,3012 上岐路国家电网附近
119.4550258025,25.9924714199,三鑫隆,2019-07-01 11:48:31,马尾区星发路驾校学车附近37米,0.0,3011 建星路与星发路口
119.4535507105,25.9904477844,三鑫隆,2019-07-01 11:48:31,马尾区罗建路福州市马尾区福州开发区流动人口计生服务站附近12米,0.0,3010建星路与罗建路路口
119.4170785648,26.0233174444,三鑫隆,2019-07-01 11:48:31,马尾区快安路华映小区北58米,0.0,2007马江路与快安路
119.4157156637,26.0210258921,三鑫隆,2019-07-01 11:48:31,马尾区快安路湖南土菜馆附近48米,0.0,2004铁板路与快安路
119.4229279631,26.0191082865,三鑫隆,2019-07-01 11:48:31,马尾区湖里路小春玻璃东73米,0.0,2009马江路与湖里路
119.4199659721,26.0214973108,三鑫隆,2019-07-01 11:48:31,马尾区马江路福州光国运动器材有限公司西北65米,0.0,2008马江路与茶山路
119.412522081,26.0229743956,三鑫隆,2019-07-01 11:48:31,"马尾区铁板路江滨锦城内,乌山小学儒江名城港湾分校附近1米",0.0,2003铁板路与中档路
119.4125332095,26.0273832901,三鑫隆,2019-07-01 11:48:31,马尾区马江路福州开发区允有电子有限公司东南96米,0.0,2005马江路与珍珠路
119.4149040802,26.0255260229,三鑫隆,2019-07-01 11:48:31,马尾区马江路大拇指环保科技集团东60米,0.0,2006马江路与中档路
119.4475092109,25.9874670287,三鑫隆,2019-07-01 11:48:31,马尾区昭忠路福州市马尾区电信局附近6米,0.0,4001 昭忠路马尾电信门口
119.4513261345,25.9933753604,三鑫隆,2019-07-01 11:48:31,马尾区君竹路福星新村-二座附近36米,0.0,3005君竹路凤祥小区路口
119.4517443223,25.9940866912,三鑫隆,2019-07-01 11:48:31,马尾区君竹路福星新村-三座附近35米,0.0,3006君竹路与星发路 斜对面
119.453159682,25.9967400805,三鑫隆,2019-07-01 11:48:31,马尾区君竹路聚英花园-2栋附近19米,0.0,3007君竹路与上岐路
119.4537602084,25.9978306569,三鑫隆,2019-07-01 11:48:31,马尾区君竹路三鑫.财富中心附近31米,0.0,3008君竹路与星达路 斜对面附路
119.4277641814,26.0148996024,三鑫隆,2019-07-01 11:48:31,马尾区仙芝路下德村附近25米,0.0,mw0001
119.4340666163,26.0094958421,三鑫隆,2019-07-01 11:48:31,马尾区仙芝路福州市和平中心小学附近45米,0.0,mw0004
119.436558425,26.0065190847,三鑫隆,2019-07-01 11:48:31,马尾区仙芝路和平公园-东北门附近27米,0.0,mw0005
119.4243288219,26.0135066087,三鑫隆,2019-07-01 11:48:31,马尾区仙芝路惠达百货连锁超市六江店东北659米,0.0,mw0006
119.4271023379,26.011032486,三鑫隆,2019-07-01 11:48:31,马尾区仙芝路福州开发区汇江职工公寓东北552米,0.0,mw0007
119.4342286477,26.0043326997,三鑫隆,2019-07-01 11:48:31,马尾区儒江东路福建省福州市马尾区人民检察院东南157米,0.0,mw0010
119.4219408536,26.0109824852,三鑫隆,2019-07-01 11:48:31,马尾区江滨东大道惠达百货连锁超市六江店东北258米,0.0,mw0011
119.4299030161,26.0086103963,三鑫隆,2019-07-01 11:48:31,马尾区儒江东路西区10号楼北416米,0.0,mw0008
119.364720132,26.0639079873,中海创,2019-03-10 11:48:31,仓山区东三环路与福马路交叉口,-0.49,福马下穿通道北侧通道液位计
119.366950723,26.0176231986,中海创,2019-03-10 11:48:31,仓山区三环快速与福泉高速秀宅互通,-0.56,魁浦下穿通道东侧通道液位计
